row,col,pixel_value,x,y,atom_nearest_indices_1,atom_nearest_indices_2,atom_nearest_distance_1,atom_nearest_distance_2,index
42.87096774193548,17.693548387096776,0.02485768500948767,0.2998906506287589,0.5640916808149405,63,41,1.542506339265152,1.6168375912051127,1
11.610169491525424,19.796610169491526,0.0,0.33553576558460213,0.15276538804638715,44,30,1.577481544825301,1.631813444726392,2
41.66101694915254,48.69491525423729,0.302625456962446,0.8253375466819879,0.548171275646744,46,47,1.569401215296034,1.6913465022748053,3
62.83561643835616,26.65753424657534,0.17072253558957834,0.4518226143487346,0.8267844268204758,33,29,1.7685291142375188,1.8570514369305202,4
26.696969696969695,42.86363636363637,0.1566250742721331,0.726502311248074,0.35127591706539074,54,50,1.633141259471618,1.6683101297131304,5
64.31944444444444,3.8472222222222223,0.16399782135076255,0.06520715630885122,0.8463084795321637,31,64,1.613844991885274,1.7256750589865146,6
56.0,54.42857142857143,0.20476190476190476,0.9225181598062955,0.7368421052631579,26,34,1.6922966758997269,1.882745202383009,7
4.0,54.5,0.0,0.923728813559322,0.05263157894736842,43,61,1.5921165877100076,1.8198754103906887,8
11.507936507936508,11.492063492063492,0.31422346716464344,0.19478073715361852,0.1514202172096909,58,2,1.7254009518044207,1.7860758683413396,9
26.953125,17.71875,0.17794117647058827,0.3003177966101695,0.35464638157894735,67,48,1.6837821635254069,1.8005479195047527,10
42.0655737704918,34.0,0.0,0.576271186440678,0.5534943917169974,71,46,1.6496943290692276,1.6542392846998597,11
51.473684210526315,9.894736842105264,0.011833505331957345,0.16770740410347904,0.6772853185595568,66,63,1.6442554508135614,1.6925729362191362,12
3.53125,32.375,0.5488970588235296,0.548728813559322,0.046463815789473686,62,45,1.5975363050949154,1.662324498939335,13
71.86153846153846,38.10769230769231,0.3903469079939668,0.6458930899608867,0.9455465587044534,37,19,1.70008606269179,1.840356138225806,14
38.507936507936506,3.4603174603174605,0.0,0.058649448479956956,0.5066833751044277,40,36,1.695750249234735,1.7125812694404157,15
18.413793103448278,31.482758620689655,0.42183908045977025,0.5336060783167738,0.24228675136116154,51,30,1.641640561362184,1.666132241813891,16
20.5,54.5,0.18412990196078435,0.923728813559322,0.26973684210526316,50,25,1.5822582859565113,1.6860121898680753,17
18.317460317460316,39.46031746031746,0.23143479614067852,0.6688189400053807,0.24101921470342522,50,16,1.7035528916595066,1.7157450084007797,18
71.46875,46.65625,0.01053921568627451,0.7907838983050848,0.9403782894736842,70,49,1.6877390844836375,1.7079367905148053,19
57.05714285714286,35.785714285714285,0.24128851540616253,0.6065375302663438,0.7507518796992482,37,69,1.615386903766418,1.8351209544762448,20
22.884615384615383,2.980769230769231,0.2165912518853695,0.05052151238591917,0.30111336032388664,57,53,1.482972491567455,1.6168657338839552,21
29.102941176470587,26.691176470588236,0.0,0.45239282153539384,0.3829334365325077,51,71,1.7482020196091779,1.7579882262770385,22
71.6470588235294,12.676470588235293,0.18419838523644755,0.21485543369890328,0.9427244582043343,56,31,1.5462216935070034,1.836967802152115,23
3.6551724137931036,17.948275862068964,0.3908045977011493,0.30420806545879603,0.04809437386569873,58,62,1.494639282527837,1.5056621026105383,24
28.315068493150687,53.87671232876713,0.4109589041095891,0.9131646157418157,0.37256669069935117,17,47,1.6860121898680753,1.8366519328202013,25
63.80263157894737,53.4078947368421,0.3006707946336428,0.9052185548617305,0.8395083102493075,7,49,1.6922966758997269,1.6989918710134098,26
56.87692307692308,45.0,0.12012066365007543,0.7627118644067796,0.7483805668016195,70,34,1.5940693399655084,1.6763462289001152,27
33.32857142857143,36.5,0.0476750700280112,0.6186440677966102,0.43853383458646616,51,46,1.742890165020858,1.8623684169615828,28
58.75,19.05,0.1397385620915033,0.3228813559322034,0.7730263157894737,56,66,1.547720519105434,1.621042735658221,29
11.841269841269842,27.38095238095238,0.21282290694055409,0.4640839386602098,0.15580618212197161,2,16,1.631813444726392,1.666132241813891,30
71.81818181818181,4.136363636363637,0.0,0.07010785824345146,0.9449760765550238,6,23,1.613844991885274,1.836967802152115,31
3.0,3.5,0.0,0.059322033898305086,0.039473684210526314,65,58,1.4561379487239199,1.6164984423091857,32
54.62903225806452,26.129032258064516,0.3898798228969009,0.4428649535265172,0.7188030560271648,69,29,1.585267523279069,1.7615557035315126,33
49.79365079365079,48.25396825396825,0.2707749766573295,0.8178638687113263,0.6551796157059314,39,27,1.670609944795322,1.6763462289001152,34
35.583333333333336,11.483333333333333,0.20333333333333342,0.19463276836158191,0.46820175438596495,67,63,1.479533919596521,1.7421402613208605,35
46.46551724137931,3.1551724137931036,0.18025693035835028,0.053477498538866165,0.6113883847549909,63,15,1.7053726732674064,1.7125812694404157,36
64.53968253968254,35.12698412698413,0.0,0.5953726123217649,0.8492063492063493,20,14,1.615386903766418,1.70008606269179,37
71.07142857142857,21.585714285714285,0.5177591036414567,0.36585956416464893,0.9351503759398496,59,56,1.696542430901834,1.7779088174925644,38
46.492063492063494,55.285714285714285,0.2657329598506069,0.937046004842615,0.6117376775271512,34,3,1.670609944795322,1.7573837575835927,39
30.63157894736842,3.087719298245614,0.5456484348125217,0.052334225393993454,0.40304709141274236,67,21,1.560640016795944,1.6661878448897667,40
45.333333333333336,24.797101449275363,0.0,0.4202898550724638,0.5964912280701755,1,69,1.6168375912051127,1.7246084911890587,41
10.88888888888889,35.93650793650794,0.02925614690320573,0.6090933548560667,0.14327485380116958,13,18,1.7579303575432603,1.7681834776186514,42
3.7288135593220337,47.101694915254235,0.0,0.7983338121229532,0.04906333630686886,45,8,1.5050620804202084,1.5921165877100076,43
